title,description,category,subCategory,url,isPaid,price,avgRating,numSubscribers
Complete Blender Creator: Learn 3D Modelling for Beginners,"Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.",Design,3D & Animation,/blendertutorial/,true,"₹12,480",4.50039,134794
Ultimate Google Ads / AdWords Course 2018 - Profit With PPC!,Google Ads: Learn how our clients have transformed their sales using google AdWords & get your AdWords certification!,Marketing,Digital Marketing,/the-ultimate-google-adwords-training-course/,true,"₹12,800",4.67195,95160
An Entire MBA in 1 Course:Award Winning Business School Prof,** #1 Best Selling Business Course! ** Everything You Need to Know About Business from Start-up to IPO,Business,Entrepreneurship,/an-entire-mba-in-1-courseaward-winning-business-school-prof/,true,"₹12,800",4.41804,176284
The Complete React Native and Redux Course,iOS and Android App Development from scratch - build full React Native mobile apps ridiculously fast!,Development,Mobile Apps,/the-complete-react-native-and-redux-course/,true,"₹6,080",4.51369,81078
The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",IT & Software,Network & Security,/penetration-testing/,true,"₹12,800",4.26962,252015
Tableau 10 A-Z: Hands-On Tableau Training For Data Science!,Learn Tableau 10 for Data Science step-by-step. Real-Life Data Analytics Exercises & Quizzes Included. Learn by doing!,Business,Data & Analytics,/tableau10/,true,"₹12,800",4.61899,70711
The Python Mega Course: Build 10 Real World Applications,Start Python from the basics and learn how to create 10 amazing and professional Python programs used in the real world!,Development,Programming Languages,/the-python-mega-course/,true,"₹12,800",4.39711,111293
Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),Vue JS is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,Development,Web Development,/vuejs-2-the-complete-guide/,true,"₹12,160",4.69502,70180
Build Responsive Real World Websites with HTML5 and CSS3,"The easiest way to learn modern web design, HTML5 and CSS3 step-by-step from scratch. Design AND code a huge project.",Development,Web Development,/design-and-develop-a-killer-website-with-html5-and-css3/,true,"₹12,800",4.59177,103355
Learn Python Programming Masterclass,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,Development,Programming Languages,/python-the-complete-python-developer-course/,true,"₹9,280",4.45554,102286
C# Basics for Beginners: Learn C# Fundamentals by Coding,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",Development,Programming Languages,/csharp-tutorial-for-beginners/,true,"₹11,520",4.55659,68787
Selenium WebDriver with Java -Basics to Advanced+Frameworks,"Join with us-""Top Ranked #1  Master Selenium java course - 55,000+ students learning together with great collaboration",Development,Software Testing,/selenium-real-time-examplesinterview-questions/,true,"₹12,800",4.45169,55555
Learn and Understand NodeJS,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",Development,Web Development,/understand-nodejs/,true,"₹12,480",4.48963,85164
Spring & Hibernate for Beginners (includes Spring Boot),"Spring Framework 5: Learn Spring Core, Spring AOP, Spring MVC, Spring Security, Spring REST, Spring Boot and Hibernate",Development,Programming Languages,/spring-hibernate-tutorial/,true,"₹12,800",4.54348,62552
Pianoforall - Incredible New Way To Learn Piano & Keyboard,"Learn Piano in WEEKS not years. Play-By-Ear & learn to Read Music. Pop, Blues, Jazz, Ballads, Improvisation, Classical",Music,Instruments,/pianoforall-incredible-new-way-to-learn-piano-keyboard/,true,"₹12,800",4.54261,154735
Automate the Boring Stuff with Python Programming,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",Development,Programming Languages,/automate/,true,"₹3,200",4.56131,119637
The Complete Android N Developer Course,"Learn Android App Development with Android 7 Nougat by building real apps including Uber, Whatsapp and Instagram!",Development,Mobile Apps,/complete-android-n-developer-course/,true,"₹12,800",4.45992,99909
CCNA 2018 200-125 Video Boot Camp With Chris Bryant,"During Our Black Friday Promotion, You Get My CCNA Security Course FREE When You Join My CCNA Video Boot Camp!",IT & Software,IT Certification,/ccna-on-demand-video-boot-camp/,true,"₹1,280",4.53769,81464
Docker Mastery: The Complete Toolset From a Docker Captain,"Build, compose, deploy, and manage Docker containers from development to DevOps based Swarm clusters",Development,Development Tools,/docker-mastery/,true,"₹12,800",4.58834,80855
CompTIA A+ Certification 901. The Total Course,"Everything you need to pass the A+ 220-901 Exam, from Mike Meyers, and Total Seminars. English / Spanish / Portuguese CC",IT & Software,IT Certification,/comptia-a-certification-901-the-total-course/,true,"₹9,280",4.60915,51725
Deep Learning A-Z™: Hands-On Artificial Neural Networks,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,Business,Data & Analytics,/deeplearning/,true,"₹12,800",4.48386,134706
Data Science A-Z™: Real-Life Data Science Exercises Included,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",Business,Data & Analytics,/datascience/,true,"₹12,800",4.46447,92078
Learn and Understand AngularJS,"Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",Development,Web Development,/learn-angularjs/,true,"₹11,200",4.48452,73617
R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",Business,Data & Analytics,/r-programming/,true,"₹12,800",4.55683,77378
PMP Exam Prep: Earn Your PMP Certification,Project Management Professional (PMP) Exam Prep Seminar to Pass the PMP Exam - 35 Contact Hours from PMI REP #4082,Business,Project Management,/pmp-exam-prep-earn-your-pmp-certification/,true,"₹12,800",4.47037,57423
The Complete ASP.NET MVC 5 Course,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",Development,Web Development,/the-complete-aspnet-mvc-5-course/,true,"₹12,160",4.40643,53062
PMP Exam Prep Seminar -  PMBOK Guide 6,PMP Exam Prep Seminar - Earn 35 PDUs by completing the entire PMP course,Business,Project Management,/pmp-pmbok6-35-pdus/,true,"₹12,800",4.53525,54121
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,Become an In-demand SQL Master by creating complex databases and building reports through real-world projects,Development,Databases,/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,true,"₹11,520",4.55823,83522
The Complete Web Developer in 2019: Zero to Mastery,"Learn to code and become a web developer in 2019 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",Development,Web Development,/the-complete-web-developer-zero-to-mastery/,true,"₹12,800",4.71838,52661
The Complete Salesforce Administrator Certification Course,"Salesforce Admin 60 Question Practice Test Included! Join over 45,000 students. Look for my new Lightning ADX201 Course",IT & Software,IT Certification,/salesforce-administrator/,true,"₹12,800",4.49182,47385
The Complete Cyber Security Course : Hackers Exposed!,"Volume 1 : Become a Cyber Security Specialist, Learn How to Stop Hackers, Prevent Hacking,  Learn IT Security &  INFOSEC",IT & Software,Network & Security,/the-complete-internet-security-privacy-course-volume-1/,true,"₹7,680",4.5031,82586
Python and Django Full Stack Web Developer Bootcamp,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",Development,Web Development,/python-and-django-full-stack-web-developer-bootcamp/,true,"₹12,800",4.50947,60374
iOS 10 & Swift 3: From Beginner to Paid Professional™,The most comprehensive course on iOS development - become a master of app development,Development,Mobile Apps,/devslopes-ios10/,true,"₹12,800",4.26087,89081
The Python Bible™ | Everything You Need to Program in Python,Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,Development,Programming Languages,/the-python-bible/,true,"₹12,480",4.57329,53957
Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,The original course to learn faster & more easily using the skills of the worlds fastest readers & memory record holders,Personal Development,Memory & Study Skills,/become-a-superlearner-2-speed-reading-memory-accelerated-learning/,true,"₹12,800",4.31166,90730
The Complete Angular Course: Beginner to Advanced,"The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4",Development,Web Development,/the-complete-angular-master-class/,true,"₹12,800",4.5338,57647
Facebook Ads & Facebook Marketing MASTERY 2018 | Coursenvy ™,"Facebook Marketing from beginner to advanced! Join 100,000+ students who MASTERED Facebook and are Facebook Ads experts!",Marketing,Social Media Marketing,/facebook-ads-facebook-marketing-mastery-guide/,true,"₹12,800",4.46027,86440
Learn Linux in 5 Days and Level Up Your Career,Use the in-demand Linux skills you learn in this course to get promoted or start a new career as a Linux professional.,IT & Software,Operating Systems,/learn-linux-in-5-days/,true,"₹12,480",4.43768,75345
Angular Crash Course for Busy Developers,Have limited time to learn Angular 4 (Angular 2+)? Take this course and learn Angular in 10 hours!,Development,Web Development,/angular-crash-course/,true,"₹10,240",4.55481,49412
Cryptocurrency Investment Course 2018: Fund your Retirement!,The Complete Guide to Buying and Selling Bitcoin and Altcoins on the Cryptocurrency Exchange!,Business,Entrepreneurship,/cryptocurrency/,true,"₹12,480",3.43056,40983
"Machine Learning, Data Science and Deep Learning with Python","Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks",Development,Software Engineering,/data-science-and-machine-learning-with-python-hands-on/,true,"₹10,240",4.56065,78299
Character Art School: Complete Character Drawing Course,"Learn How to Draw People and Character Designs Professionally, Drawing for Animation, Comics, Cartoons, Games and More!",Design,Other,/character-art-school-complete-character-drawing/,true,"₹12,480",4.36224,69813
The Ultimate Hands-On Hadoop - Tame your Big Data!,"Hadoop tutorial with MapReduce, HDFS, Spark, Flink, Hive, HBase, MongoDB, Cassandra, Kafka + more! Over 25 technologies.",Business,Data & Analytics,/the-ultimate-hands-on-hadoop-tame-your-big-data/,true,"₹11,520",4.54155,60351
Become a Product Manager | Learn the Skills & Get the Job,"The most complete course available on Product Management. 13+ hours of videos, activities, interviews, & more",Business,Management,/become-a-product-manager-learn-the-skills-get-a-job/,true,"₹12,480",4.44646,54617
Blockchain and Bitcoin Fundamentals,Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.,IT & Software,Other,/blockchain-and-bitcoin-fundamentals/,true,"₹6,080",4.62402,40411
Complete Guitar System - Beginner to Advanced,All-in-one Guitar Course With a Proven Step-by-step Learning System.,Music,Instruments,/complete-guitar-system-beginner-to-advanced/,true,"₹12,800",4.37005,93383
"C# Intermediate: Classes, Interfaces and OOP","An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",Development,Programming Languages,/csharp-intermediate-classes-interfaces-and-oop/,true,"₹9,600",4.53991,51000
The Complete iOS 10 & Swift 3 Developer Course,"Learn iOS App Development by building 21 iOS apps using Swift 3 & Xcode 8. Includes free web hosting, assets & ebook.",Development,Mobile Apps,/complete-ios-10-developer-course/,true,"₹12,800",4.5609,61083
PHP for Beginners - Become a PHP Master - CMS Project,PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.,Development,Web Development,/php-for-complete-beginners-includes-msql-object-oriented/,true,"₹12,800",4.43561,56720
The Complete Financial Analyst Course 2018,"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",Business,Finance,/the-complete-financial-analyst-course/,true,"₹12,480",4.53962,78166
Spring Framework Master Class - Learn Spring the Modern Way!,"Learn the magic of Spring Framework in 100 Steps with Spring Boot, Spring JDBC, Spring AOP, Hibernate, JUnit & Mockito",IT & Software,Other,/spring-tutorial-for-beginners/,true,"₹12,800",4.29135,64281
"Instagram Marketing 2018: A Step-By-Step to 10,000 Followers","Attract Hyper-Targeted Instagram Followers, Convert Followers to Paying Customers, & Expand your Brand Using Instagram",Marketing,Social Media Marketing,/instagram-marketing-for-small-businesses/,true,"₹12,800",4.31944,56281
How to Start an Amazon FBA Store on a Tight Budget,"The complete Amazon selling blueprint. Start a brand new career today, even if you are on a very small start-up budget.",Business,Home Business,/sell-on-amazon-as-small-start-up/,true,"₹11,520",4.54653,37568
Beginner to Pro in Excel: Financial Modeling and Valuation,Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,Business,Finance,/beginner-to-pro-in-excel-financial-modeling-and-valuation/,true,"₹12,480",4.45719,56780
Illustrator CC 2019 MasterClass,Master Adobe Illustrator CC with this in-depth training for all levels.,Design,Graphic Design,/illustrator-cc-masterclass/,true,"₹12,800",4.55612,48768
Life Coaching Certificate Course (Achology Certified),Become Certified in Life Coaching with this Comprehensive Online Life Coach Certificate Course | Achology Accredited,Personal Development,Personal Transformation,/life-coaching-online-certification-course-life-coach-training/,true,"₹12,800",4.48434,48773
Ultimate Web Designer & Developer Course: Build 23 Projects!,Become a Full-Stack Developer - Learn Everything from Design to Front & Back-End Programming.,Development,Web Development,/web-developer-course/,true,"₹12,800",4.43172,55655
Microsoft Excel - From Beginner to Expert in 6 Hours,This Microsoft Excel class will make you a master of Microsoft Excel. The training uses Excel 2013 for Windows.,Office Productivity,Microsoft,/thebestexcel/,true,"₹1,600",4.4307,84146
The Complete React Web Developer Course (with Redux),"Learn how to build and launch React web applications using React v16, Redux, Webpack, React-Router v4, and more!",Development,Web Development,/react-2nd-edition/,true,"₹6,400",4.67954,32265
Angular & NodeJS - The MEAN Stack Guide,Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application,Development,Web Development,/angular-2-and-nodejs-the-practical-guide/,true,"₹9,600",4.61444,44879
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!","The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",Development,Web Development,/advanced-css-and-sass/,true,"₹12,800",4.77911,44172
70-535 Architecting Microsoft Azure Solutions (Updated),Will be updated to cover AZ-300 content before the exam goes live.,IT & Software,IT Certification,/70534-azure/,true,"₹9,600",4.35226,46190
Learning Python for Data Analysis and Visualization,"Learn python and how to use it to analyze,visualize and present data. Includes tons of sample code and hours of video!",Development,Programming Languages,/learning-python-for-data-analysis-and-visualization/,true,"₹12,480",4.28744,94358
After Effects CC 2019: Complete Course from Novice to Expert,"Create stunning Motion Graphics, VFX Visual Effects & VFX Compositing with hands-on tutorials & 50+ practice projects.",Design,3D & Animation,/after-effects-kinetic-typography/,true,"₹12,800",4.62675,58068
Photography Masterclass: A Complete Guide to Photography,The Best Online Professional Photography Class: How to Take Amazing Photos for Beginners & Advanced Photographers,Photography,Photography Fundamentals,/photography-masterclass-complete-guide-to-photography/,true,"₹12,800",4.63005,51380
Master Jenkins CI For DevOps and Developers,Learn how to build automated continuous integration pipeline with Jenkins. Take your DevOps skills to the next level.,Development,Development Tools,/the-complete-jenkins-course-for-developers-and-devops/,true,"₹9,600",4.34043,48156
Microsoft Excel - Advanced Excel Formulas & Functions,Master 75+ Excel formulas & functions with hands-on demos from a best-selling Microsoft Excel instructor (Excel 2010-19),Office Productivity,Microsoft,/excel-for-analysts/,true,"₹11,200",4.59256,48478
Complete Guide to TensorFlow for Deep Learning with Python,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,Development,Programming Languages,/complete-guide-to-tensorflow-for-deep-learning-with-python/,true,"₹12,480",4.44866,49825
The Complete Oracle SQL Certification Course,"Don't just learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",Development,Databases,/the-complete-oracle-sql-certification-course/,true,"₹12,480",4.48795,35131
The Ultimate Excel Programmer Course,"Learn Excel VBA from scratch with Dan Strong! I've trained over 120K students on YouTube and U-demy, check it out!",Development,Programming Languages,/ultimate-excel-programmer/,true,"₹12,800",4.44391,76957
Artificial Intelligence A-Z™: Learn How To Build An AI,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!",Business,Data & Analytics,/artificial-intelligence-az/,true,"₹12,800",4.35673,76502
The Complete Networking Fundamentals Course. Your CCNA start,Learn about networking and start your journey to CCNA,IT & Software,Network & Security,/complete-networking-fundamentals-course-ccna-start/,true,"₹1,280",4.79376,34316
Complete C# Unity Developer 3D: Learn to Code Making Games,"Game development & design. Learn C# using Unity Engine. Your first 3D Unity games for web, Mac & PC.",Development,Game Development,/unitycourse2/,true,"₹12,480",4.60731,46006
PLC Programming From Scratch (PLC I),This course will give a person with no prior experience the basic tools necessary to create  a PLC program from scratch.,IT & Software,Hardware,/plc-programming-from-scratch/,true,"₹6,400",4.53392,26000
Business Analysis Fundamentals - 2018,Learn the Core Concepts in Business Analysis and Grow a Successful Career as a Business Analyst,Business,Data & Analytics,/business-analysis-ba/,true,"₹12,800",4.45123,31687
AWS Certified SysOps Administrator - Associate 2019,Want to pass the AWS Certified SysOps Administrator Exam? Want to become Amazon Web Services Certified? Do this course!,IT & Software,IT Certification,/aws-certified-sysops-administrator-associate/,true,"₹9,600",4.43323,74251
Learn How To Code: Google's Go (golang) Programming Language,The Ultimate Comprehensive Course - Perfect for Both Beginners and Experienced Developers,Development,Programming Languages,/learn-how-to-code/,true,"₹2,240",4.50177,65906
AWS Certified Solutions Architect - Associate 2018,Want to pass the AWS Solutions Architect - Associate Exam? Want to become Amazon Web Services Certified? Do this course!,IT & Software,IT Certification,/aws-certified-solutions-architect-associate/,true,"₹11,520",4.45872,364589
Complete Python Bootcamp: Go from zero to hero in Python 3,Learn Python like a Professional! Start from the basics and go all the way to creating your own applications and games!,Development,Programming Languages,/complete-python-bootcamp/,true,"₹12,480",4.48906,445981
The Web Developer Bootcamp,"The only course you need to learn web development - HTML, CSS, JS, Node, and More!",Development,Web Development,/the-web-developer-bootcamp/,true,"₹12,800",4.63184,363408
Angular 7 (formerly Angular 2) - The Complete Guide,"Master Angular (Angular 2+, incl. Angular 7) and build awesome, reactive web apps with the successor of Angular.js",Development,Web Development,/the-complete-guide-to-angular-2/,true,"₹12,160",4.56182,218788
Machine Learning A-Z™: Hands-On Python & R In Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,Business,Data & Analytics,/machinelearning/,true,"₹12,800",4.53171,343699
Java Programming Masterclass for Software Developers,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,Development,Programming Languages,/java-the-complete-java-developer-course/,true,"₹12,480",4.55932,276282
The Ultimate Drawing Course - Beginner to Advanced,Learn the #1 most important building block of all art,Design,Graphic Design,/the-ultimate-drawing-course-beginner-to-advanced/,true,"₹9,600",4.45062,243581
Complete C# Unity Developer 2D: Learn to Code Making Games,"Game development & design. Learn Unity 2018 in C#. Your first 7 2D Unity games for web, Mac & PC. Includes Tilemap",Development,Game Development,/unitycourse/,true,"₹12,480",4.60658,273753
The Complete Web Developer Course 2.0,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",Development,Web Development,/the-complete-web-developer-course-2/,true,"₹12,800",4.54239,197187
Microsoft Excel - Excel from Beginner to Advanced,"Excel with this A-Z Microsoft Excel Course. Microsoft Excel 2010, Excel 2013, Excel 2016",Office Productivity,Microsoft,/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,true,"₹9,600",4.51684,147544
Modern React with Redux [2019 Update],"(Updated Dec 2018) Master React v16.6.3 and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",Development,Web Development,/react-redux/,true,"₹11,520",4.53651,124822
The Complete Digital Marketing Course - 12 Courses in 1,"Master Digital Marketing Strategy, Social Media Marketing, SEO, YouTube, Email, Facebook Marketing, Analytics & More!",Marketing,Digital Marketing,/learn-digital-marketing-course/,true,"₹12,800",4.40471,211187
Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",Business,Data & Analytics,/python-for-data-science-and-machine-learning-bootcamp/,true,"₹12,480",4.50279,172381
The Complete JavaScript Course 2018: Build Real Projects!,"Master JavaScript with the most complete course on the market! Projects, challenges, quizzes, ES6+, OOP, AJAX, Webpack",Development,Web Development,/the-complete-javascript-course/,true,"₹12,800",4.55776,151800
Unreal Engine C++ Developer: Learn C++ and Make Video Games,"Learn C++ from basics. Make your first 4 video games in Unreal engine, the engine behind Fortnite. Interactive tutorial.",Development,Game Development,/unrealcourse/,true,"₹12,480",4.50927,160041
JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",Development,Web Development,/understand-javascript/,true,"₹11,200",4.69556,117647
Learn Ethical Hacking From Scratch,Become an ethical hacker that can hack computer systems like black hat hackers and secure them like security experts.,IT & Software,Network & Security,/learn-ethical-hacking-from-scratch/,true,"₹12,480",4.52405,153981
iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp,Learn iOS 11 App Development From Beginning to End. Using Xcode 9 and Swift 4. Includes Full ARKit and CoreML Modules!,Development,Mobile Apps,/ios11-app-development-bootcamp/,true,"₹12,800",4.6546,104271
React 16.6 - The Complete Guide (incl. React Router & Redux),"Dive in and learn React from scratch! Learn Reactjs, Redux, React Routing, Animations, Next.js basics and way more!",Development,Programming Languages,/react-the-complete-guide-incl-redux/,true,"₹12,160",4.66225,88107
The Complete SQL Bootcamp,Become an expert at SQL!,Business,Data & Analytics,/the-complete-sql-bootcamp/,true,"₹12,480",4.50297,121313
AWS Certified Developer - Associate 2018,Do you want AWS certification? Do you want to be an AWS Certified Developer Associate? This AWS online course is for you,IT & Software,IT Certification,/aws-certified-developer-associate/,true,"₹9,600",4.32239,136640
The Complete Node.js Developer Course (2nd Edition),"Learn Node.js by building real-world applications with Node, Express, MongoDB, Mocha, and more!",Development,Programming Languages,/the-complete-nodejs-developer-course-2/,true,"₹5,440",4.5785,108708
"Reiki Level I, II and Master/Teacher Program","Learn Reiki Levels 1, 2 and Master Level to become a Certified Traditional Usui Reiki Practitioner/Instructor",Personal Development,Personal Transformation,/reikicourse/,true,"₹12,480",4.6553,87378
Complete Blender Creator: Learn 3D Modelling for Beginners,"Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.",Design,3D & Animation,/blendertutorial/,true,"₹12,480",4.50039,134794
Ultimate Google Ads / AdWords Course 2018 - Profit With PPC!,Google Ads: Learn how our clients have transformed their sales using google AdWords & get your AdWords certification!,Marketing,Digital Marketing,/the-ultimate-google-adwords-training-course/,true,"₹12,800",4.67195,95160
An Entire MBA in 1 Course:Award Winning Business School Prof,** #1 Best Selling Business Course! ** Everything You Need to Know About Business from Start-up to IPO,Business,Entrepreneurship,/an-entire-mba-in-1-courseaward-winning-business-school-prof/,true,"₹12,800",4.41804,176284
The Complete React Native and Redux Course,iOS and Android App Development from scratch - build full React Native mobile apps ridiculously fast!,Development,Mobile Apps,/the-complete-react-native-and-redux-course/,true,"₹6,080",4.51369,81078
The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",IT & Software,Network & Security,/penetration-testing/,true,"₹12,800",4.26962,252015
